azon	nev	evfolyam	betujel
1	Kis Lilla Laura	11	D
2	Hídvégi Antal	11	B
3	Illés Anna Noémi	11	F
4	Aszódi Anna	10	B
5	Aszódi Kitti	7	A
6	Adonyi Iringó	10	A
7	Kossa Barnabás	11	B
8	Füstös Zsófi	10	B
9	Tatay Eszter Anna	11	E
10	Keleti Viktória Lilla	9	N
11	Dede Anna Róza	10	B
12	Pintér Veronika	9	E
13	Borbély Antal	9	B
14	Sárdi Emma Krisztina	10	E
15	Moldvay Eszter	9	N
16	Beke Fanni	11	E
17	Bódy Judit	10	E
18	Olasz Réka	11	D
19	Kocsiss Ákos	11	D
20	Ujvári Botond Rudolf	11	F
21	Baross Angéla	11	D
22	Tóth Gábor Ábris	11	B
23	Tőke Csaba	12	C
24	Tétényi Orsolya Anna	11	F
25	Kovács Éva Réka	12	A
26	Vete Roland István	12	D
27	Kis Kinga Anna	12	A
28	Veti Milán	12	A
29	Piski Petra	11	F
30	Csűrös Panna	12	A
31	Bezerédi Heléna	11	F
32	Kis Csenge	8	A
33	Serédi Dorka	8	A
34	Nemesi Máté	8	A
35	Juhász Jónás	8	A
36	Tury Anna Klára	8	A
37	Piros Anikó	8	A
38	Márkus Andrea	8	A
39	Nagy Mátyás	8	A
40	Kiss Orsolya	8	B
41	Kiss Éva	12	D
42	Mátyus Bertalan	12	D
43	Szabadi Anna Luca	12	B
44	Tóth Zsófia	12	D
45	Rebak Lili	12	B
46	Márton Bence	12	B
47	Hajdú Viola Erzsébet	12	C
48	Bene Borbála	12	B
49	Vete Gréta	12	D
50	Széki Dorka	12	D
51	Vete Kinga	12	B
52	Balogh Eszter	12	B
53	Dede Áron Andrea	12	B
54	Dana Éva	12	D
55	Ada Zsófia Zsuzsanna	12	D
56	Tóti Anna Vilma	12	D
57	Nagy Réka Lilla	12	B
58	Papp Bálint Kende	12	B
59	Őry Boglárka	12	D
60	Tamás Dániel	9	D
61	Kovács Bálint	9	A
62	Szén Lili	9	D
63	Molnár Máté Bendegúz	9	D
64	Cseh Natália	10	D
65	Nagy Dániel Gábor	9	D
66	Veréb Nóra Emília	9	D
67	Derék Szilvia Boglárka	10	C
68	Vörös Rebeka Anna	9	D
69	Danka Balázs	9	D
70	Papp Noémi Orsolya	9	D
71	Gara Artúr Géza	9	A
72	Korándi Laura	8	B
73	Lévai András László	8	A
74	Ábel Félix	8	B
75	Lengyel Szabolcs	8	A
76	Budai Ádám András	8	A
77	Halász Tamás András	8	A
78	Nagy Zsombor Zoltán	8	B
79	Lampé Szabolcs Ákos	8	A
80	Molnár Zsombor	8	A
81	Máté Dániel Erik	8	B
82	Pap Marcell	8	B
83	Fecske László Márton	8	A
84	Simon András Márk	8	B
85	Györgyi Péter	8	A
86	Surányi Gergő Márton	8	B
87	Bíró Dávid	8	B
88	Sás Bernát	8	A
89	Sas Lili Anna	11	E
90	Garami Panna	12	A
91	Újhelyi Zita	12	A
92	Bende Soma Tamás	11	E
93	Kolonics András	12	A
94	Péti Ilona Sára	11	C
95	Csiba Krisztina Terézia	12	E
96	Vete Laura Jelica	11	F
97	Pintér Zsófia	12	E
98	Gábos Flóra Anna	11	D
99	Szabó Bernadett Viktória	12	E
100	Némedi Dóra	12	E
101	Takács András	11	F
102	Pogány Lilla	12	E
103	Ballai Emma	11	E
104	Babos Éva	12	E
105	Schmitt Petra	11	E
106	Vivien Noémi	11	E
107	Bornemissza Réka	11	E
108	Prókai Áron István	11	E
109	Széki Levente	11	E
